COUNTY,DEMOCRAT,REPUBLICAN,OTHER,_LOWER
SPOTSYLVANIA ,0.45,0.54,0.01,Spotsylvania 
STAFFORD ,0.50,0.49,0.02,Stafford 
STAUNTON ,0.56,0.43,0.01,Staunton 
SUFFOLK ,0.57,0.41,0.01,Suffolk 
SURRY ,0.49,0.50,0.01,Surry 
SUSSEX ,0.52,0.48,0.01,Sussex 
TAZEWELL ,0.15,0.84,0.01,Tazewell 
VIRGINIA BEACH ,0.51,0.48,0.01,Virginia Beach 
WARREN ,0.31,0.68,0.01,Warren 
WASHINGTON ,0.23,0.76,0.01,Washington 
WAYNESBORO ,0.47,0.52,0.01,Waynesboro 
WESTMORELAND ,0.42,0.57,0.01,Westmoreland 
WILLIAMSBURG ,0.72,0.27,0.02,Williamsburg 
WINCHESTER ,0.54,0.44,0.01,Winchester 
WISE ,0.18,0.81,0.01,Wise 
WYTHE ,0.20,0.80,0.01,Wythe 
YORK ,0.46,0.52,0.01,York 
